id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"338","NRG","NRG Energy","reports","Utilities","Independent Power Producers & Energy Traders","Princeton, New Jersey","2010-01-29","1013871"
"339","NUE","Nucor Corp.","reports","Materials","Steel","Charlotte, North Carolina","1985-04-30","73309"
"340","NVDA","Nvidia Corporation","reports","Information Technology","Semiconductors","Santa Clara, California","0000-00-00","1045810"
"341","ORLY","O'Reilly Automotive","reports","Consumer Discretionary","Specialty Stores","Springfield, Missouri","2009-03-27","898173"
"342","OXY","Occidental Petroleum","reports","Energy","Oil & Gas Exploration & Production","Los Angeles, California","1982-12-31","797468"
"343","OMC","Omnicom Group","reports","Consumer Discretionary","Advertising","New York, New York","0000-00-00","29989"
"344","OKE","ONEOK","reports","Energy","Oil & Gas Exploration & Production","Tulsa, Oklahoma","2010-03-15","1039684"
"345","ORCL","Oracle Corp.","reports","Information Technology","Application Software","Redwood Shores, California","1989-08-31","1341439"
"346","PCAR","PACCAR Inc.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Bellevue, Washington","1980-12-31","75362"
"347","PH","Parker-Hannifin","reports","Industrials","Industrial Conglomerates","Cleveland, Ohio","1985-11-30","76334"
"348","PDCO","Patterson Companies","reports","Health Care","Health Care Supplies","St. Paul, Minnesota","0000-00-00","891024"
"349","PAYX","Paychex Inc.","reports","Information Technology","Internet Software & Services","Penfield, New York","0000-00-00","723531"
"350","PYPL","PayPal","reports","Information Technology","Data Processing & Outsourced Services","San Jose, California","2015-07-20","1633917"
"351","PNR","Pentair Ltd.","reports","Industrials","Industrial Machinery","Worsley, UK","2012-10-01","77360"
"352","PBCT","People's United Financial","reports","Financials","Thrifts & Mortgage Finance","Bridgeport, Connecticut","2008-11-13","1378946"
"353","PEP","PepsiCo Inc.","reports","Consumer Staples","Soft Drinks","Purchase, New York","0000-00-00","77476"
"354","PKI","PerkinElmer","reports","Health Care","Health Care Equipment","Waltham, Massachusetts","1985-05-31","31791"
"355","PRGO","Perrigo","reports","Health Care","Pharmaceuticals","Dublin, Ireland","2011-12-19","1585364"
"356","PFE","Pfizer Inc.","reports","Health Care","Pharmaceuticals","New York, New York","0000-00-00","78003"
"357","PCG","PG&E Corp.","reports","Utilities","MultiUtilities","San Francisco, California","0000-00-00","1004980"
"358","PM","Philip Morris International","reports","Consumer Staples","Tobacco","New York, New York","2008-03-31","1413329"
"359","PSX","Phillips 66","reports","Energy","Oil & Gas Refining & Marketing & Transportation","Houston, Texas","2012-05-01","1534701"
"360","PNW","Pinnacle West Capital","reports","Utilities","MultiUtilities","Phoenix, Arizona","0000-00-00","764622"
"361","PXD","Pioneer Natural Resources","reports","Energy","Oil & Gas Exploration & Production","Irving, Texas","2008-09-24","1038357"
"362","PBI","Pitney-Bowes","reports","Industrials","Technology, Hardware, Software and Supplies","Stamford, Connecticut","0000-00-00","78814"
"363","PNC","PNC Financial Services","reports","Financials","Banks","Pittsburgh, Pennsylvania","1988-04-30","713676"
"364","RL","Polo Ralph Lauren Corp.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2007-02-02","1037038"
"365","PPG","PPG Industries","reports","Materials","Diversified Chemicals","Pittsburgh, Pennsylvania","0000-00-00","79879"
"366","PPL","PPL Corp.","reports","Utilities","Electric Utilities","Allentown, Pennsylvania","0000-00-00","922224"
"367","PX","Praxair Inc.","reports","Materials","Industrial Gases","Danbury, Connecticut","1992-07-01","884905"
"368","PCLN","Priceline.com Inc","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","2009-11-06","1075531"
"369","PFG","Principal Financial Group","reports","Financials","Diversified Financial Services","Des Moines, Iowa","0000-00-00","1126328"
"370","PG","Procter & Gamble","reports","Consumer Staples","Personal Products","Cincinnati, Ohio","0000-00-00","80424"
"371","PGR","Progressive Corp.","reports","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","0000-00-00","80661"
"372","PLD","Prologis","reports","Real Estate","REITs","San Francisco, California","0000-00-00","1045609"
"373","PRU","Prudential Financial","reports","Financials","Diversified Financial Services","Newark, New Jersey","0000-00-00","1137774"
"374","PEG","Public Serv. Enterprise Inc.","reports","Utilities","Electric Utilities","Newark, New Jersey","0000-00-00","788784"
"375","PSA","Public Storage","reports","Real Estate","REITs","Glendale, California","0000-00-00","1393311"
"376","PHM","Pulte Homes Inc.","reports","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1984-04-30","822416"
"377","PVH","PVH Corp.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2013-02-15","78239"
"378","QRVO","Qorvo","reports","Information Technology","Semiconductors","Greensboro, North Carolina","2015-06-11","1604778"
"379","QCOM","QUALCOMM Inc.","reports","Information Technology","Semiconductors","San Diego, California","0000-00-00","804328"
"380","PWR","Quanta Services Inc.","reports","Industrials","Industrial Conglomerates","Houston, Texas","2009-07-01","1050915"
"381","DGX","Quest Diagnostics","reports","Health Care","Health Care Facilities","Madison, New Jersey","0000-00-00","1022079"
"382","RRC","Range Resources Corp.","reports","Energy","Oil & Gas Exploration & Production","Fort Worth, Texas","2007-12-21","315852"
"383","RTN","Raytheon Co.","reports","Industrials","Aerospace & Defense","Waltham, Massachusetts","0000-00-00","1047122"
"384","O","Realty Income Corporation","reports","Real Estate","Retail REITs","San Diego, California","2015-04-07","726728"
"385","RHT","Red Hat Inc.","reports","Information Technology","Systems Software","Raleigh, North Carolina","2009-07-27","1087423"
"386","REGN","Regeneron","reports","Health Care","Biotechnology","Tarrytown, New York","2013-05-01","872589"
"387","RF","Regions Financial Corp.","reports","Financials","Diversified Financial Services","Birmingham, Alabama","0000-00-00","1281761"
"388","RSG","Republic Services Inc","reports","Industrials","Industrial Conglomerates","Phoenix, Arizona","2008-12-05","1060391"
"389","RAI","Reynolds American Inc.","reports","Consumer Staples","Tobacco","Winston-Salem, North Carolina","0000-00-00","1275283"
"390","RHI","Robert Half International","reports","Industrials","Human Resource & Employment Services","Menlo Park, California","0000-00-00","315213"
"391","ROK","Rockwell Automation Inc.","reports","Industrials","Industrial Conglomerates","Milwaukee, Wisconsin","0000-00-00","1024478"
"392","COL","Rockwell Collins","reports","Industrials","Industrial Conglomerates","Cedar Rapids, Iowa","0000-00-00","1137411"
"393","ROP","Roper Industries","reports","Industrials","Industrial Conglomerates","Sarasota, Florida","2009-12-23","882835"
"394","ROST","Ross Stores","reports","Consumer Discretionary","Apparel Retail","Pleasanton, California","2009-12-21","745732"
"395","RCL","Royal Caribbean Cruises Ltd","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2014-12-05","884887"
"396","R","Ryder System","reports","Industrials","Industrial Conglomerates","Miami, Florida","1982-12-31","85961"
"397","SPGI","S&P Global, Inc.","reports","Financials","Diversified Financial Services","New York, New York","0000-00-00","64040"
"398","CRM","Salesforce.com","reports","Information Technology","Internet Software & Services","San Francisco, California","2008-09-15","1108524"
"399","SCG","SCANA Corp","reports","Utilities","MultiUtilities","Cayce, South Carolina","2009-01-02","754737"
"400","SLB","Schlumberger Ltd.","reports","Energy","Oil & Gas Equipment & Services","Cura?_ao, Kingdom of the Netherlan","1965-03-31","87347"
"401","SNI","Scripps Networks Interactive Inc.","reports","Consumer Discretionary","Broadcasting & Cable TV","Cincinnati, Ohio","2008-07-01","1430602"
"402","STX","Seagate Technology","reports","Information Technology","Computer Storage & Peripherals","Dublin, Ireland","2012-07-02","1137789"
"403","SEE","Sealed Air","reports","Materials","Paper Packaging","Elmwood Park, New Jersey","0000-00-00","1012100"
"404","SRE","Sempra Energy","reports","Utilities","MultiUtilities","San Diego, California","0000-00-00","1032208"
"405","SHW","Sherwin-Williams","reports","Materials","Specialty Chemicals","Cleveland, Ohio","1964-06-30","89800"
"406","SIG","Signet Jewelers","reports","Consumer Discretionary","Specialty Stores","Hamilton, Bermuda","2015-07-29","832988"
"407","SPG","Simon Property Group Inc","reports","Real Estate","REITs","Indianapolis, Indiana","0000-00-00","1063761"
"408","SWKS","Skyworks Solutions","reports","Information Technology","Semiconductors","Woburn, Massachusetts","2015-03-12","4127"
"409","SLG","SL Green Realty","reports","Real Estate","Office REITs","New York, New York","2015-03-20","1040971"
"410","SNA","Snap-On Inc.","reports","Consumer Discretionary","Household Appliances","Kenosha, Wisconsin","1982-09-30","91440"
"411","SO","Southern Co.","reports","Utilities","Electric Utilities","Atlanta, Georgia","0000-00-00","92122"
"412","LUV","Southwest Airlines","reports","Industrials","Airlines","Dallas, Texas","1994-07-01","92380"
"413","SWN","Southwestern Energy","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas[6]","2008-06-06","7332"
"414","SE","Spectra Energy Corp.","reports","Energy","Oil & Gas Refining & Marketing & Transportation","Houston, Texas","0000-00-00","1373835"
"415","SWK","Stanley Black & Decker","reports","Consumer Discretionary","Household Appliances","New Britain, Connecticut","1982-09-30","93556"
"416","SPLS","Staples Inc.","reports","Consumer Discretionary","Specialty Stores","Framingham, Massachusetts","0000-00-00","791519"
"417","SBUX","Starbucks Corp.","reports","Consumer Discretionary","Restaurants","Seattle, Washington","0000-00-00","829224"
"418","STT","State Street Corp.","reports","Financials","Diversified Financial Services","Boston, Massachusetts","0000-00-00","93751"
"419","SRCL","Stericycle Inc","reports","Industrials","Industrial Conglomerates","Lake Forest, Illinois","2008-11-19","861878"
"420","SYK","Stryker Corp.","reports","Health Care","Health Care Equipment","Kalamazoo, Michigan","0000-00-00","310764"
"421","STI","SunTrust Banks","reports","Financials","Banks","Atlanta, Georgia","1988-05-31","750556"
"422","SYMC","Symantec Corp.","reports","Information Technology","Application Software","Mountain View, California","2003-03-25","849399"
"423","SYF","Synchrony Financial","reports","Financials","Consumer Finance","Stamford, Connecticut","2015-11-18","1601712"
"424","SYY","Sysco Corp.","reports","Consumer Staples","Food Distributors","Houston, Texas","1986-12-31","96021"
"425","TROW","T. Rowe Price Group","reports","Financials","Diversified Financial Services","Baltimore, Maryland","0000-00-00","1113169"
"426","TGT","Target Corp.","reports","Consumer Discretionary","General Merchandise Stores","Minneapolis, Minnesota","1976-12-31","27419"
"427","TEL","TE Connectivity Ltd.","reports","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","2011-10-17","1385157"
"428","TGNA","Tegna, Inc.","reports","Consumer Discretionary","Publishing","McLean, Virginia","1975-12-31","39899"
"429","TDC","Teradata Corp.","reports","Information Technology","Application Software","Miamisburg, Ohio","2007-10-01","816761"
"430","TSO","Tesoro Petroleum Co.","reports","Energy","Oil & Gas Refining & Marketing & Transportation","San Antonio, Texas","2007-09-27","50104"
"431","TXN","Texas Instruments","reports","Information Technology","Semiconductors","Dallas, Texas","0000-00-00","97476"
"432","TXT","Textron Inc.","reports","Industrials","Industrial Conglomerates","Providence, Rhode Island","1978-12-31","217346"
"433","BK","The Bank of New York Mellon Corp.","reports","Financials","Banks","New York, New York","0000-00-00","1390777"
"434","CLX","The Clorox Company","reports","Consumer Staples","Household Products","Oakland, California","1969-03-31","21076"
"435","COO","The Cooper Companies","reports","Health Care","Health Care Supplies","Pleasanton, California","2016-09-23","711404"
"436","HSY","The Hershey Company","reports","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","0000-00-00","47111"
"437","MOS","The Mosaic Company","reports","Materials","Fertilizers & Agricultural Chemicals","Plymouth, Minnesota","2011-09-26","1285785"
"438","TRV","The Travelers Companies Inc.","reports","Financials","Property & Casualty Insurance","New York, New York","0000-00-00","86312"
"439","DIS","The Walt Disney Company","reports","Consumer Discretionary","Broadcasting & Cable TV","Burbank, California","1976-06-30","1001039"
"440","TMO","Thermo Fisher Scientific","reports","Health Care","Health Care Equipment","Waltham, Massachusetts","0000-00-00","97745"
"441","TIF","Tiffany & Co.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","0000-00-00","98246"
"442","TWX","Time Warner Inc.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York, New York","0000-00-00","1105705"
"443","TJX","TJX Companies Inc.","reports","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","1985-09-30","109198"
"444","TMK","Torchmark Corp.","reports","Financials","Life & Health Insurance","McKinney, Texas","1989-04-30","320335"
"445","TSS","Total System Services","reports","Information Technology","Internet Software & Services","Columbus, Georgia","2008-01-02","721683"
"446","TSCO","Tractor Supply Company","reports","Consumer Discretionary","Specialty Retail","Brentwood, Tennessee","2014-01-24","916365"
"447","TDG","TransDigm Group","reports","Industrials","Aerospace & Defense","Cleveland, Ohio","2016-06-03","1260221"
"448","RIG","Transocean","reports","Energy","Oil & Gas Drilling","Vernier, Switzerland","2013-10-29","1451505"
"449","TRIP","TripAdvisor","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Newton, Massachusetts","2011-12-21","1526520"
"450","FOXA","Twenty-First Century Fox Class A","reports","Consumer Discretionary","Publishing","New York, New York","2013-07-01","1308161"
"451","FOX","Twenty-First Century Fox Class B","reports","Consumer Discretionary","Publishing","New York, New York","2015-09-18","1308161"
"452","TSN","Tyson Foods","reports","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","0000-00-00","100493"
"453","USB","U.S. Bancorp","reports","Financials","Banks","Minneapolis, Minnesota","0000-00-00","36104"
"454","UDR","UDR Inc","reports","Real Estate","Residential REITs","Highlands Ranch, Colorado","2016-03-07","74208"
"455","ULTA","Ulta Salon Cosmetics & Fragrance Inc","reports","Consumer Discretionary","Specialty Stores","Bolingbrook, Illinois","2016-04-18","1403568"
"456","UA","Under Armour","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore, Maryland","2014-05-01","1336917"
"457","UAA","Under Armour","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore, Maryland","2016-03-25","1336917"
"458","UNP","Union Pacific","reports","Industrials","Railroads","Omaha, Nebraska","0000-00-00","100885"
"459","UAL","United Continental Holdings","reports","Industrials","Airlines","Chicago, Illinois","2015-09-03","100517"
"460","UNH","United Health Group Inc.","reports","Health Care","Managed Health Care","Minnetonka, Minnesota","1994-07-01","731766"
"461","UPS","United Parcel Service","reports","Industrials","Air Freight & Logistics","Atlanta, Georgia","0000-00-00","1090727"
"462","URI","United Rentals, Inc.","reports","Industrials","Trading Companies & Distributors","Stamford, Connecticut","2014-09-20","1067701"
"463","UTX","United Technologies","reports","Industrials","Industrial Conglomerates","Hartford, Connecticut","0000-00-00","101829"
"464","UHS","Universal Health Services, Inc.","reports","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","2014-09-20","352915"
"465","UNM","Unum Group","reports","Financials","Diversified Financial Services","Chattanooga, Tennessee","1994-03-01","5513"
"466","URBN","Urban Outfitters","reports","Consumer Discretionary","Apparel Retail","Philadelphia, Pennsylvania","2010-02-08","912615"
"467","VFC","V.F. Corp.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Greensboro, North Carolina","1979-06-30","103379"
"468","VLO","Valero Energy","reports","Energy","Oil & Gas Refining & Marketing & Transportation","San Antonio, Texas","0000-00-00","1035002"
"469","VAR","Varian Medical Systems","reports","Health Care","Health Care Equipment","Palo Alto, California","2007-02-12","203527"
"470","VTR","Ventas Inc","reports","Real Estate","REITs","Chicago, Illinois","2009-03-04","740260"
"471","VRSN","Verisign Inc.","reports","Information Technology","Internet Software & Services","Dulles, Virginia","0000-00-00","1014473"
"472","VRSK","Verisk Analytics","reports","Industrials","Research & Consulting Services","Jersey City, New Jersey","2015-10-08","1442145"
"473","VZ","Verizon Communications","reports","Telecommunications Services","Integrated Telecommunications Services","New York, New York","1983-11-30","732712"
"474","VRTX","Vertex Pharmaceuticals Inc","reports","Health Care","Biotechnology","Cambridge, Massachusetts","2013-09-23","875320"
"475","VIAB","Viacom Inc.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York, New York","0000-00-00","1339947"
"476","V","Visa Inc.","reports","Information Technology","Internet Software & Services","San Francisco, California","2009-12-21","1403161"
"477","VNO","Vornado Realty Trust","reports","Real Estate","REITs","New York, New York","0000-00-00","899689"
"478","VMC","Vulcan Materials","reports","Materials","Construction Materials","Birmingham, Alabama","0000-00-00","1396009"
"479","WMT","Wal-Mart Stores","reports","Consumer Staples","Hypermarkets & Super Centers","Bentonville, Arkansas","1982-08-31","104169"
"480","WBA","Walgreens Boots Alliance","reports","Consumer Staples","Drug Retail","Deerfield, Illinois","1979-12-31","1618921"
"481","WM","Waste Management Inc.","reports","Industrials","Environmental Services","Houston, Texas","0000-00-00","823768"
"482","WAT","Waters Corporation","reports","Health Care","Health Care Distributors","Milford, Massachusetts","0000-00-00","1000697"
"483","WEC","Wec Energy Group Inc","reports","Utilities","Electric Utilities","Milwaukee, Wisconsin","2008-10-31","783325"
"484","WFC","Wells Fargo","reports","Financials","Banks","San Francisco, California","1976-06-30","72971"
"485","HCN","Welltower Inc.","reports","Real Estate","REITs","Toledo, Ohio","2009-01-30","766704"
"486","WDC","Western Digital","reports","Information Technology","Computer Storage & Peripherals","Irvine, California","2009-07-01","106040"
"487","WU","Western Union Co","reports","Information Technology","Internet Software & Services","Englewood, Colorado","0000-00-00","1365135"
"488","WRK","WestRock Company","reports","Materials","Paper Packaging","Richmond, Virginia","0000-00-00","1636023"
"489","WY","Weyerhaeuser Corp.","reports","Real Estate","REITs","Federal Way, Washington","0000-00-00","106535"
"490","WHR","Whirlpool Corp.","reports","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan","0000-00-00","106640"
"491","WFM","Whole Foods Market","reports","Consumer Staples","Food Retail","Austin, Texas","0000-00-00","865436"
"492","WMB","Williams Cos.","reports","Energy","Oil & Gas Exploration & Production","Tulsa, Oklahoma","1975-03-31","107263"
"493","WLTW","Willis Towers Watson","reports","Financials","Insurance Brokers","London, United Kingdom","2016-01-05","1140536"
"494","WYN","Wyndham Worldwide","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Parsippany, New Jersey","0000-00-00","1361658"
"495","WYNN","Wynn Resorts Ltd","reports","Consumer Discretionary","Casinos & Gaming","Las Vegas, Nevada","2008-11-14","1174922"
"496","XEL","Xcel Energy Inc","reports","Utilities","MultiUtilities","Minneapolis, Minnesota","0000-00-00","72903"
"497","XRX","Xerox Corp.","reports","Information Technology","IT Consulting & Other Services","Norwalk, Connecticut","0000-00-00","108772"
"498","XLNX","Xilinx Inc","reports","Information Technology","Semiconductors","San Jose, California","0000-00-00","743988"
"499","XL","XL Capital","reports","Financials","Property & Casualty Insurance","Hamilton, Bermuda","0000-00-00","875159"
"500","XYL","Xylem Inc.","reports","Industrials","Industrial Conglomerates","White Plains, New York","2011-11-01","1524472"
"501","YHOO","Yahoo Inc.","reports","Information Technology","Internet Software & Services","Sunnyvale, California","0000-00-00","1011006"
"502","YUM","Yum! Brands Inc","reports","Consumer Discretionary","Restaurants","Louisville, Kentucky","1997-10-06","1041061"
"503","ZBH","Zimmer Biomet Holdings","reports","Health Care","Health Care Equipment","Warsaw, Indiana","0000-00-00","1136869"
"504","ZION","Zions Bancorp","reports","Financials","Regional Banks","Salt Lake City, Utah","0000-00-00","109380"
"505","ZTS","Zoetis","reports","Health Care","Pharmaceuticals","Florham Park, New Jersey","2013-06-21","1555280"
